HUC12,HUC12_Name
10900030207,Abbott Run
10900040911,Aquidneck Island-Frontal Atlantic Ocean
10900050301,Ashaway River
10900040202,Assawompsett Pond
10900040802,Assonet River
10900040605,Barden Reservoir-Ponaganset River
10900040702,Barrington River-Warren River
10900050203,Beaver River
10900040601,Big River
10900030204,Branch River
10900030203,Chepachet River
10900050201,Chipuxet River-Pawcatuck River
10900030202,Clear River
10900040204,Cotley River-Taunton River
10900030206,Emerson Brook-Blackstone River
10900040903,Greenwich Bay
10900040602,Headwaters South Branch Pawtuxet River
10900040904,Hunt River
10900030101,Kettle Brook
10900040909,Lower East Passage
10900050303,Lower Pawcatuck River
10900040908,Lower West Passage
10900050102,Lower Wood River
10900040102,Matfield River
10900040801,Mill River
10900030205,Mill River
10900040501,Moshassuck River
10900040604,Moswansicut Pond-Huntinghouse Brook
10900040905,Mount Hope Bay
10900030104,Mumford River
10900040203,Nemasket River
10900050403,Ninigret Pond-Frontal Block Island Sound
10900040607,North Branch Pawtuxet River
10900040701,Palmer River
10900040609,Pawtuxet River
10900030208,Peters River-Blackstone River
10900040912,Pettaquamscutt River-Frontal Atlantic Ocean
10900040608,Pocassett River
10900050402,Point Judith Pond-Frontal Block Island Sound
10900040803,Quequechan River
10900030103,Quinsigamond River
10900040910,Sakonnet River
10900040101,Satucket River
10900050401,Saugatucket River
10900040606,Scituate Reservoir
10900040901,Seekonk River-Providence River
10900030105,Singletary Brook-Blackstone River
10900040603,South Branch Pawtuxet River
10900030102,Tatnuck Brook-Blackstone River
10900040804,Taunton River-Frontal Mount Hope Bay
10900040401,Ten Mile River
10900040302,Threemile River
10900050205,Tomaquag Brook-Pawcatuck River
10900040103,Town River
10900040907,Upper East Passage
10900040902,Upper Narragansett Bay
10900040906,Upper West Passage
10900050101,Upper Wood River
10900050202,Usquepaug River
10900050204,Usquepaug River-Pawcatuck River
10900050302,Shunock River
10900040301,Wading River
10900030201,West River
10900040201,Winnetuxet River-Taunton River
10900040502,Woonasquatucket River
11000030303,Part of Coastal drainages-Pawcatuck Point to Eastern Point
999999,No HUC12
